,popularity,country,genre,january,february,march,april,may,june,july,august,september,october,november,december
32,10.455,USA,Comedy,0,0,0,0,0,0,1,0,0,0,0,0
33,6.454,UK,Drama,0,0,0,0,0,0,0,0,0,0,0,1
34,5.585,USA,Action,0,0,0,0,0,0,0,0,0,1,0,0
35,4.888999999999999,USA,Biography,0,1,0,0,0,0,0,0,0,0,0,0
36,10.225,USA,Action,0,0,0,0,0,0,0,1,0,0,0,0
37,6.814,USA,Comedy,0,0,0,0,0,0,0,0,0,1,0,0
38,6.04,USA,Comedy,0,0,0,0,0,0,0,0,0,1,0,0
39,23.323,USA,Crime,0,0,0,0,0,0,0,0,1,0,0,0
40,11.145,USA,Animation,0,0,0,0,0,1,0,0,0,0,0,0
41,3.0,Canada,Drama,0,0,0,0,0,0,0,0,0,0,1,0
42,14.51,USA,Crime,0,0,0,0,0,0,0,0,1,0,0,0
43,5.752000000000001,USA,Comedy,0,0,0,0,0,0,0,0,0,0,1,0
44,3.866,USA,Comedy,0,0,0,0,0,0,0,0,1,0,0,0
45,1.7819999999999998,USA,Drama,0,0,0,0,0,0,0,0,0,0,0,1
46,4.715,USA,Comedy,0,0,0,0,0,0,0,0,0,0,1,0
47,5.893,USA,Drama,0,0,0,0,0,0,1,0,0,0,0,0
48,5.058,USA,Crime,1,0,0,0,0,0,0,0,0,0,0,0
49,5.997999999999999,USA,Drama,1,0,0,0,0,0,0,0,0,0,0,0
50,8.749,USA,Comedy,1,0,0,0,0,0,0,0,0,0,0,0
51,2.177,USA,Comedy,1,0,0,0,0,0,0,0,0,0,0,0
52,7.166,USA,Comedy,1,0,0,0,0,0,0,0,0,0,0,0
53,4.029,USA,Action,1,0,0,0,0,0,0,0,0,0,0,0
54,2.67,USA,Drama,0,0,0,0,0,0,0,0,0,0,1,0
55,8.616,USA,Comedy,0,0,0,1,0,0,0,0,0,0,0,0
56,13.908,USA,Action,1,0,0,0,0,0,0,0,0,0,0,0
57,6.247000000000001,USA,Action,0,0,0,0,0,0,0,0,0,0,1,0
58,3.097,USA,Comedy,0,0,0,0,0,0,0,0,0,1,0,0
59,3.725,USA,Romance,1,0,0,0,0,0,0,0,0,0,0,0
60,5.617999999999999,USA,Drama,0,0,0,0,0,0,0,0,0,0,1,0
61,6.175,USA,Drama,0,1,0,0,0,0,0,0,0,0,0,0
62,1.608,Iran,Drama,0,0,0,0,0,0,0,0,0,0,1,0
63,7.27,USA,Crime,0,0,0,0,0,0,0,0,0,0,0,1
64,3.016,Netherlands,Comedy,0,1,0,0,0,0,0,0,0,0,0,0
65,1.909,UK,Drama,1,0,0,0,0,0,0,0,0,0,0,0
66,6.647,USA,Adventure,0,1,0,0,0,0,0,0,0,0,0,0
67,5.644,USA,Comedy,1,0,0,0,0,0,0,0,0,0,0,0
68,6.482,USA,Comedy,0,1,0,0,0,0,0,0,0,0,0,0
69,6.263999999999999,USA,Action,0,0,0,0,0,0,0,0,0,0,1,0
70,6.449,USA,Drama,0,1,0,0,0,0,0,0,0,0,0,0
71,5.412999999999999,USA,Comedy,0,0,0,0,0,0,0,0,0,1,0,0
72,5.721,USA,Comedy,0,1,0,0,0,0,0,0,0,0,0,0
73,9.785,USA,Action,0,1,0,0,0,0,0,0,0,0,0,0
74,7.631,France,Crime,0,1,0,0,0,0,0,0,0,0,0,0
75,6.438,USA,Drama,0,1,0,0,0,0,0,0,0,0,0,0
76,7.843,USA,Comedy,0,1,0,0,0,0,0,0,0,0,0,0
77,2.383,USA,Comedy,0,1,0,0,0,0,0,0,0,0,0,0
78,3.258,USA,Drama,0,1,0,0,0,0,0,0,0,0,0,0
79,13.288,USA,Comedy,0,1,0,0,0,0,0,0,0,0,0,0
80,9.167,USA,Drama,0,0,0,0,0,1,0,0,0,0,0,0
81,5.4510000000000005,USA,Action,0,1,0,0,0,0,0,0,0,0,0,0
82,17.3,USA,Biography,0,0,0,0,1,0,0,0,0,0,0,0
83,8.491,Hong Kong,Action,0,1,0,0,0,0,0,0,0,0,0,0
84,7.035,USA,Crime,0,1,0,0,0,0,0,0,0,0,0,0
85,1.861,USA,Comedy,0,0,1,0,0,0,0,0,0,0,0,0
86,2.338,USA,Adventure,0,0,1,0,0,0,0,0,0,0,0,0
87,6.87,USA,Comedy,0,0,0,0,0,0,1,0,0,0,0,0
88,6.95,Hong Kong,Crime,0,0,1,0,0,0,0,0,0,0,0,0
89,5.443,Italy,Drama,0,0,1,0,0,0,0,0,0,0,0,0
90,6.046,USA,Comedy,0,0,0,1,0,0,0,0,0,0,0,0
91,6.053,USA,Crime,0,0,0,0,0,0,0,0,0,1,0,0
92,6.249,USA,Comedy,0,0,1,0,0,0,0,0,0,0,0,0
93,5.092,USA,Drama,0,0,1,0,0,0,0,0,0,0,0,0
94,7.715,USA,Comedy,0,0,1,0,0,0,0,0,0,0,0,0
95,2.4459999999999997,USA,Comedy,0,0,0,0,0,0,0,1,0,0,0,0
96,10.498,USA,Action,0,0,0,1,0,0,0,0,0,0,0,0
97,3.335,USA,Family,0,0,0,0,0,0,0,1,0,0,0,0
98,7.629,USA,Biography,0,0,0,1,0,0,0,0,0,0,0,0
99,2.395,UK,Comedy,0,0,0,0,0,0,1,0,0,0,0,0
100,2.503,USA,Comedy,0,0,0,0,1,0,0,0,0,0,0,0
101,25.636999999999997,USA,Adventure,0,0,0,0,0,1,0,0,0,0,0,0
102,7.825,USA,Adventure,0,0,0,1,0,0,0,0,0,0,0,0
103,4.748,USA,Horror,0,0,0,0,0,0,0,0,0,1,0,0
104,10.796,USA,Action,0,0,0,0,0,1,0,0,0,0,0,0
105,1.715,UK,Action,0,0,0,0,0,0,0,1,0,0,0,0
106,3.674,USA,Comedy,0,0,0,0,0,0,0,0,0,1,0,0
107,5.809,USA,Comedy,0,0,0,0,0,0,0,0,1,0,0,0
108,11.040999999999999,USA,Comedy,0,0,0,0,1,0,0,0,0,0,0,0
109,6.056,USA,Crime,0,0,0,0,0,0,0,0,1,0,0,0
110,8.594,USA,Action,0,0,0,0,0,1,0,0,0,0,0,0
111,10.57,USA,Action,0,0,0,0,1,0,0,0,0,0,0,0
112,8.397,USA,Action,0,0,0,0,0,0,0,1,0,0,0,0
113,5.516,USA,Crime,0,0,0,0,0,0,0,0,1,0,0,0
114,5.9239999999999995,USA,Action,0,0,0,0,0,0,0,0,0,1,0,0
115,8.139,USA,Action,0,0,0,0,0,0,1,0,0,0,0,0
116,10.047,France,Adventure,0,0,0,0,0,0,1,0,0,0,0,0
117,6.5,USA,Comedy,0,0,0,0,0,0,0,0,1,0,0,0
118,3.063,USA,Comedy,0,0,0,0,0,0,0,1,0,0,0,0
119,7.622999999999999,Canada,Action,0,0,0,0,1,0,0,0,0,0,0,0
120,9.602,USA,Action,0,0,0,0,0,1,0,0,0,0,0,0
121,4.614,USA,Comedy,0,0,0,1,0,0,0,0,0,0,0,0
122,5.44,USA,Drama,0,0,0,0,0,0,0,0,1,0,0,0
123,4.756,USA,Comedy,0,0,0,0,0,0,1,0,0,0,0,0
124,6.082999999999999,USA,Horror,0,0,0,0,0,0,0,1,0,0,0,0
125,1.123,Canada,Drama,0,0,0,0,0,1,0,0,0,0,0,0
126,2.9419999999999997,USA,Drama,0,0,0,0,1,0,0,0,0,0,0,0
127,8.161,USA,Comedy,0,0,0,0,0,0,0,0,0,1,0,0
128,9.466000000000001,USA,Action,0,0,0,0,0,1,0,0,0,0,0,0
129,1.252,UK,Comedy,0,0,0,0,0,0,0,0,1,0,0,0
130,1.742,USA,Drama,0,0,0,0,0,0,0,0,1,0,0,0
131,7.954,USA,Action,0,0,0,0,0,0,1,0,0,0,0,0
132,5.899,USA,Comedy,0,0,0,0,0,0,1,0,0,0,0,0
133,2.006,USA,Comedy,0,0,0,0,0,1,0,0,0,0,0,0
134,7.687,USA,Action,0,0,0,0,0,0,0,0,1,0,0,0
135,6.099,UK,Drama,0,0,0,0,0,1,0,0,0,0,0,0
136,7.002999999999999,USA,Drama,0,0,0,0,0,0,0,0,0,1,0,0
137,7.197,France,Drama,0,0,0,0,0,0,0,0,1,0,0,0
138,7.223,Germany,Comedy,0,0,0,0,0,1,0,0,0,0,0,0
139,5.772,USA,Comedy,0,0,0,0,0,0,0,1,0,0,0,0
140,11.280999999999999,USA,Action,0,0,0,0,0,0,1,0,0,0,0,0
141,9.151,USA,Action,0,0,0,0,0,0,0,0,0,1,0,0
142,2.385,USA,Drama,0,0,0,0,0,0,0,0,0,1,0,0
143,7.159,UK,Biography,0,0,0,0,0,0,0,0,0,0,1,0
144,8.369,USA,Action,0,0,0,0,0,0,1,0,0,0,0,0
145,1.4140000000000001,USA,Comedy,0,0,0,0,0,0,0,0,1,0,0,0
146,6.916,USA,Drama,0,0,0,0,0,0,0,1,0,0,0,0
147,9.793,USA,Action,0,0,0,0,0,0,1,0,0,0,0,0
148,2.694,France,Drama,0,0,0,0,0,0,0,0,0,0,0,1
149,4.497,USA,Action,0,0,0,0,0,0,0,0,0,0,0,1
150,1.235,UK,Drama,0,0,0,0,0,0,0,0,0,1,0,0
151,3.405,USA,Adventure,0,0,0,0,0,0,0,1,0,0,0,0
152,3.804,Russia,Drama,0,0,0,1,0,0,0,0,0,0,0,0
153,4.069,Republic of Macedonia,Drama,0,1,0,0,0,0,0,0,0,0,0,0
154,10.025,USA,Drama,1,0,0,0,0,0,0,0,0,0,0,0
155,8.435,USA,Comedy,0,1,0,0,0,0,0,0,0,0,0,0
156,4.996,USA,Comedy,0,1,0,0,0,0,0,0,0,0,0,0
157,4.488,USA,Drama,0,0,0,1,0,0,0,0,0,0,0,0
158,9.627,USA,Comedy,0,0,0,0,0,0,0,0,0,0,1,0
159,7.806,USA,Drama,0,0,0,0,0,0,0,0,0,0,0,1
160,8.083,USA,Action,0,0,0,0,0,0,0,0,0,0,0,1
161,1.149,USA,Crime,0,0,0,1,0,0,0,0,0,0,0,0
162,5.607,UK,Drama,1,0,0,0,0,0,0,0,0,0,0,0
163,9.388,USA,Crime,0,0,1,0,0,0,0,0,0,0,0,0
164,14.335999999999999,USA,Comedy,0,0,0,0,0,0,0,0,0,0,0,1
165,8.897,Taiwan,Comedy,0,0,0,0,0,0,0,1,0,0,0,0
166,2.051,USA,Comedy,0,0,0,0,0,0,0,0,0,1,0,0
167,8.394,USA,Biography,0,0,0,0,0,0,0,0,0,1,0,0
168,7.042000000000001,UK,Comedy,0,0,0,0,1,0,0,0,0,0,0,0
169,3.955,USA,Comedy,0,0,0,0,1,0,0,0,0,0,0,0
170,4.635,USA,Adventure,1,0,0,0,0,0,0,0,0,0,0,0
171,9.645,USA,Animation,0,0,0,1,0,0,0,0,0,0,0,0
172,3.11,USA,Fantasy,0,0,1,0,0,0,0,0,0,0,0,0
173,4.843999999999999,USA,Drama,0,0,0,0,0,1,0,0,0,0,0,0
174,2.615,France,Biography,0,0,1,0,0,0,0,0,0,0,0,0
175,0.9259999999999999,USA,Comedy,0,0,0,0,1,0,0,0,0,0,0,0
176,1.466,France,Crime,0,0,0,0,0,1,0,0,0,0,0,0
177,6.2170000000000005,UK,Biography,1,0,0,0,0,0,0,0,0,0,0,0
178,4.975,USA,Action,0,1,0,0,0,0,0,0,0,0,0,0
179,5.619,USA,Comedy,0,0,0,0,0,0,0,0,0,0,0,1
180,1.6640000000000001,USA,Biography,0,0,1,0,0,0,0,0,0,0,0,0
181,1.3090000000000002,USA,Comedy,0,1,0,0,0,0,0,0,0,0,0,0
182,6.81,USA,Comedy,0,0,0,0,0,0,0,0,0,0,1,0
183,5.109,USA,Action,0,1,0,0,0,0,0,0,0,0,0,0
184,3.515,USA,Adventure,0,0,0,0,0,0,0,1,0,0,0,0
185,6.747000000000001,USA,Action,0,0,0,1,0,0,0,0,0,0,0,0
186,7.175,USA,Drama,0,0,0,0,0,0,0,0,0,0,0,1
187,7.635,USA,Drama,0,0,0,0,1,0,0,0,0,0,0,0
188,1.5530000000000002,UK,Drama,1,0,0,0,0,0,0,0,0,0,0,0
189,8.765,USA,Drama,1,0,0,0,0,0,0,0,0,0,0,0
190,8.102,USA,Adventure,0,0,1,0,0,0,0,0,0,0,0,0
191,3.324,USA,Crime,0,0,0,0,1,0,0,0,0,0,0,0
192,1.818,USA,Comedy,0,0,0,0,0,0,0,0,0,1,0,0
193,4.673,USA,Drama,0,0,1,0,0,0,0,0,0,0,0,0
194,4.463,UK,Biography,0,0,0,0,0,0,0,0,0,0,0,1
195,4.861000000000001,USA,Comedy,0,0,1,0,0,0,0,0,0,0,0,0
196,3.8939999999999997,USA,Comedy,0,0,0,0,0,0,0,0,0,0,0,1
197,6.917999999999999,USA,Comedy,0,0,0,0,0,0,0,1,0,0,0,0
198,7.41,USA,Family,0,0,0,0,0,0,0,0,0,0,1,0
199,2.055,USA,Comedy,1,0,0,0,0,0,0,0,0,0,0,0
200,2.971,USA,Drama,0,0,0,0,1,0,0,0,0,0,0,0
201,7.962000000000001,USA,Drama,1,0,0,0,0,0,0,0,0,0,0,0
202,5.279,USA,Comedy,1,0,0,0,0,0,0,0,0,0,0,0
203,5.167999999999999,USA,Drama,0,0,0,0,0,0,0,0,0,0,0,1
204,2.024,USA,Crime,0,0,0,1,0,0,0,0,0,0,0,0
205,8.986,USA,Crime,0,0,0,0,0,0,0,1,0,0,0,0
206,6.77,USA,Comedy,0,0,0,0,0,0,0,0,0,1,0,0
207,7.756,USA,Action,0,0,1,0,0,0,0,0,0,0,0,0
208,18.948,France,Crime,0,0,0,0,0,0,0,0,0,0,1,0
209,2.4459999999999997,USA,Comedy,0,0,0,0,1,0,0,0,0,0,0,0
210,29.059,USA,Crime,0,0,0,0,0,0,0,0,0,1,0,0
211,2.4730000000000003,UK,Drama,0,0,0,0,1,0,0,0,0,0,0,0
212,1.4909999999999999,Taiwan,Comedy,1,0,0,0,0,0,0,0,0,0,0,0
213,2.431,UK,Drama,0,0,1,0,0,0,0,0,0,0,0,0
214,7.845,USA,Biography,0,0,0,0,0,0,0,0,0,1,0,0
215,4.813,France,Biography,0,0,0,0,0,0,0,0,0,0,0,1
216,2.287,USA,Comedy,0,0,1,0,0,0,0,0,0,0,0,0
217,5.2989999999999995,USA,Comedy,0,0,0,0,0,0,0,0,0,0,0,1
218,9.866,Switzerland,Drama,0,0,0,0,0,0,0,0,0,0,1,0
219,8.912,France,Drama,0,0,0,0,0,0,0,0,1,0,0,0
220,8.44,Switzerland,Comedy,0,0,0,0,0,1,0,0,0,0,0,0
221,1.564,Germany,Comedy,0,0,0,1,0,0,0,0,0,0,0,0
222,6.05,USA,Animation,0,0,0,0,0,0,0,0,0,0,1,0
223,1.81,USA,Drama,0,1,0,0,0,0,0,0,0,0,0,0
224,6.224,Peru,Action,0,0,0,0,0,0,0,0,0,1,0,0
225,9.798,USA,Comedy,0,0,0,0,0,0,0,0,0,0,1,0
226,27.441,USA,Crime,0,0,0,0,0,0,0,0,0,1,0,0
227,6.4670000000000005,UK,Crime,0,1,0,0,0,0,0,0,0,0,0,0
228,1.6280000000000001,Cuba,Comedy,1,0,0,0,0,0,0,0,0,0,0,0
229,1.733,Australia,Comedy,0,0,1,0,0,0,0,0,0,0,0,0
230,2.707,Canada,Adventure,0,0,0,0,0,0,0,0,1,0,0,0
231,4.404,China,Drama,0,0,0,0,0,0,0,0,0,0,0,1
232,5.662999999999999,USA,Action,0,0,1,0,0,0,0,0,0,0,0,0
233,5.178999999999999,USA,Action,1,0,0,0,0,0,0,0,0,0,0,0
234,5.851,USA,Action,0,0,0,0,0,0,0,0,0,0,1,0
235,3.4789999999999996,USA,Crime,0,0,0,0,1,0,0,0,0,0,0,0
236,1.036,UK,Biography,0,0,0,0,0,0,0,0,0,0,0,1
237,6.4479999999999995,USA,Horror,0,0,0,1,0,0,0,0,0,0,0,0
238,7.15,USA,Adventure,0,0,1,0,0,0,0,0,0,0,0,0
239,3.5639999999999996,USA,Comedy,0,0,0,0,0,0,0,0,0,1,0,0
240,2.428,USA,Crime,0,0,0,1,0,0,0,0,0,0,0,0
241,0.795,USA,Drama,0,1,0,0,0,0,0,0,0,0,0,0
242,10.613,USA,Drama,0,0,1,0,0,0,0,0,0,0,0,0
243,5.93,USA,Action,0,0,0,0,0,0,0,1,0,0,0,0
244,8.287,USA,Comedy,0,0,0,1,0,0,0,0,0,0,0,0
245,4.3839999999999995,USA,Drama,0,0,0,0,0,0,0,0,0,0,1,0
246,0.84,Canada,Drama,0,0,0,0,0,0,1,0,0,0,0,0
247,3.4730000000000003,USA,Comedy,0,0,0,0,0,0,0,1,0,0,0,0
248,10.5,USA,Comedy,0,1,0,0,0,0,0,0,0,0,0,0
249,5.857,USA,Comedy,0,1,0,0,0,0,0,0,0,0,0,0
250,11.722000000000001,USA,Action,0,0,0,0,0,0,0,1,0,0,0,0
251,8.275,USA,Crime,0,0,0,0,0,0,1,0,0,0,0,0
252,4.95,USA,Comedy,0,0,0,0,0,0,0,1,0,0,0,0
253,2.7239999999999998,USA,Comedy,0,0,0,0,1,0,0,0,0,0,0,0
254,10.842,USA,Action,0,0,0,0,1,0,0,0,0,0,0,0
255,2.7569999999999997,USA,Biography,0,0,0,0,0,0,0,0,0,0,0,1
256,6.856,USA,Comedy,0,0,0,0,1,0,0,0,0,0,0,0
257,26.173000000000002,USA,Comedy,0,0,0,0,0,0,1,0,0,0,0,0
258,8.429,UK,Comedy,0,0,0,1,0,0,0,0,0,0,0,0
259,4.96,USA,Crime,1,0,0,0,0,0,0,0,0,0,0,0
260,0.6,USA,Comedy,0,0,0,0,0,0,0,0,0,1,0,0
261,4.15,USA,Action,0,0,0,0,0,1,0,0,0,0,0,0
262,6.9270000000000005,USA,Comedy,0,0,0,0,0,0,1,0,0,0,0,0
263,22.33,USA,Animation,0,0,0,0,0,1,0,0,0,0,0,0
264,7.74,Italy,Drama,0,0,0,0,1,0,0,0,0,0,0,0
265,9.881,USA,Fantasy,0,0,0,0,0,0,0,0,0,1,0,0
266,24.701999999999998,USA,Comedy,0,0,0,0,0,0,1,0,0,0,0,0
267,6.457999999999999,USA,Action,0,0,0,0,1,0,0,0,0,0,0,0
268,3.455,USA,Biography,0,0,0,0,0,0,0,0,0,0,1,0
269,4.591,USA,Comedy,0,0,1,0,0,0,0,0,0,0,0,0
270,7.356,USA,Comedy,0,1,0,0,0,0,0,0,0,0,0,0
271,8.136000000000001,USA,Comedy,0,0,0,0,0,0,0,0,0,0,0,1
272,8.286,USA,Action,0,0,0,0,0,0,0,0,1,0,0,0
273,13.202,USA,Action,0,0,0,0,0,1,0,0,0,0,0,0
274,3.4189999999999996,USA,Comedy,0,0,0,0,0,0,0,0,0,0,0,1
275,11.931,USA,Action,0,0,0,0,0,0,1,0,0,0,0,0
276,7.041,USA,Drama,0,0,0,0,1,0,0,0,0,0,0,0
277,7.025,USA,Drama,0,0,0,0,0,1,0,0,0,0,0,0
278,8.327,USA,Adventure,0,0,0,0,0,1,0,0,0,0,0,0
279,2.026,USA,Crime,1,0,0,0,0,0,0,0,0,0,0,0
280,3.21,USA,Comedy,1,0,0,0,0,0,0,0,0,0,0,0
281,3.9930000000000003,USA,Action,0,0,0,0,0,0,0,0,0,0,1,0
282,2.6430000000000002,USA,Crime,0,0,0,0,0,0,0,0,1,0,0,0
283,9.019,Japan,Action,0,0,0,0,0,0,0,0,0,0,0,1
284,6.683,Canada,Action,1,0,0,0,0,0,0,0,0,0,0,0
285,3.091,USA,Biography,0,1,0,0,0,0,0,0,0,0,0,0
286,4.748,USA,Crime,0,0,1,0,0,0,0,0,0,0,0,0
287,9.931000000000001,USA,Comedy,0,0,0,0,0,0,0,0,0,0,1,0
288,5.048,USA,Drama,0,0,0,0,0,0,0,0,0,1,0,0
289,7.268,USA,Comedy,0,0,0,0,0,0,0,1,0,0,0,0
290,3.6510000000000002,USA,Comedy,1,0,0,0,0,0,0,0,0,0,0,0
291,5.252000000000001,USA,Action,0,0,0,0,0,0,1,0,0,0,0,0
292,5.38,USA,Romance,0,0,0,1,0,0,0,0,0,0,0,0
293,4.007,USA,Comedy,0,0,0,0,0,0,1,0,0,0,0,0
294,6.4,USA,Comedy,0,0,0,0,0,0,0,0,0,1,0,0
295,9.834,USA,Action,0,0,0,0,1,0,0,0,0,0,0,0
296,7.763,USA,Adventure,0,0,0,0,0,0,1,0,0,0,0,0
297,8.912,USA,Action,0,0,0,0,0,0,1,0,0,0,0,0
298,4.131,USA,Drama,0,1,0,0,0,0,0,0,0,0,0,0
299,2.5340000000000003,USA,Drama,0,0,0,0,0,0,0,0,1,0,0,0
300,6.358,USA,Horror,1,0,0,0,0,0,0,0,0,0,0,0
301,4.025,USA,Drama,0,0,0,0,0,0,0,0,1,0,0,0
302,8.491,USA,Crime,0,0,0,0,0,0,0,0,0,1,0,0
303,2.866,USA,Adventure,1,0,0,0,0,0,0,0,0,0,0,0
304,3.052,USA,Drama,0,0,0,0,0,0,0,0,1,0,0,0
305,7.779,USA,Crime,0,0,0,0,0,0,0,0,0,0,1,0
306,6.416,USA,Comedy,0,0,0,0,0,1,0,0,0,0,0,0
307,3.2110000000000003,USA,Comedy,0,0,0,0,1,0,0,0,0,0,0,0
308,10.309000000000001,USA,Action,0,0,0,0,1,0,0,0,0,0,0,0
309,6.859,USA,Comedy,0,0,0,0,0,0,1,0,0,0,0,0
310,6.266,USA,Mystery,0,0,0,0,0,0,0,1,0,0,0,0
311,3.458,USA,Action,0,0,0,0,0,1,0,0,0,0,0,0
312,1.7630000000000001,Italy,Drama,0,0,0,0,0,0,0,0,0,0,1,0
313,8.557,USA,Comedy,0,0,0,0,1,0,0,0,0,0,0,0
314,7.812,USA,Comedy,0,1,0,0,0,0,0,0,0,0,0,0
315,14.084000000000001,USA,Action,0,0,0,0,0,0,0,0,0,1,0,0
316,3.761,USA,Comedy,0,0,0,0,1,0,0,0,0,0,0,0
317,4.375,USA,Comedy,0,0,0,0,0,0,0,0,0,1,0,0
318,5.761,China,Drama,0,0,0,0,0,0,0,0,0,1,0,0
319,1.8969999999999998,USA,Comedy,0,0,0,1,0,0,0,0,0,0,0,0
320,5.888,USA,Drama,0,0,0,0,0,0,0,0,0,0,1,0
321,4.859,USA,Comedy,0,0,0,1,0,0,0,0,0,0,0,0
322,2.838,USA,Drama,0,0,0,0,0,0,0,0,0,0,1,0
323,6.452999999999999,USA,Comedy,0,0,0,0,0,0,0,0,0,1,0,0
324,7.117000000000001,USA,Drama,0,0,0,0,0,1,0,0,0,0,0,0
325,7.178,USA,Adventure,0,0,0,0,0,0,1,0,0,0,0,0
326,5.779,USA,Crime,0,0,0,0,0,0,0,0,1,0,0,0
327,10.845999999999998,USA,Action,0,0,0,0,0,0,0,1,0,0,0,0
328,4.63,USA,Drama,0,0,0,0,0,0,0,0,0,0,0,1
329,7.244,USA,Action,0,1,0,0,0,0,0,0,0,0,0,0
330,4.273,USA,Comedy,0,0,0,0,0,1,0,0,0,0,0,0
331,0.955,USA,Drama,0,0,0,0,0,0,1,0,0,0,0,0
332,1.786,South Africa,Comedy,0,0,0,0,0,0,0,0,1,0,0,0
333,2.043,USA,Crime,0,0,0,0,0,1,0,0,0,0,0,0
334,8.883,USA,Action,0,0,0,0,0,0,0,1,0,0,0,0
335,7.941,USA,Action,0,0,0,0,1,0,0,0,0,0,0,0
336,4.897,UK,Comedy,0,0,0,0,1,0,0,0,0,0,0,0
337,1.7169999999999999,USA,Comedy,1,0,0,0,0,0,0,0,0,0,0,0
338,6.395,UK,Comedy,0,0,1,0,0,0,0,0,0,0,0,0
339,2.4619999999999997,USA,Comedy,0,1,0,0,0,0,0,0,0,0,0,0
340,5.149,USA,Comedy,0,0,0,0,0,0,0,1,0,0,0,0
341,10.655999999999999,USA,Action,0,0,0,0,0,0,1,0,0,0,0,0
342,4.948,USA,Biography,0,0,0,0,0,1,0,0,0,0,0,0
343,2.424,USA,Crime,0,0,1,0,0,0,0,0,0,0,0,0
344,8.677,USA,Action,0,0,0,0,0,0,0,0,0,1,0,0
345,17.407,USA,Adventure,0,0,0,0,0,1,0,0,0,0,0,0
346,5.895,USA,Crime,0,0,0,0,0,0,0,0,1,0,0,0
347,3.823,USA,Drama,0,0,0,0,0,0,0,1,0,0,0,0
348,5.001,USA,Family,0,0,0,0,0,0,1,0,0,0,0,0
349,11.308,USA,Action,0,0,0,0,0,1,0,0,0,0,0,0
350,2.9560000000000004,USA,Comedy,0,0,0,0,0,1,0,0,0,0,0,0
351,3.5860000000000003,USA,Comedy,0,0,1,0,0,0,0,0,0,0,0,0
352,4.324,USA,Drama,0,0,0,0,0,0,0,0,0,1,0,0
353,6.331,USA,Comedy,0,0,0,0,1,0,0,0,0,0,0,0
354,5.5920000000000005,USA,Drama,0,0,0,0,0,0,0,1,0,0,0,0
355,5.5089999999999995,USA,Comedy,0,0,0,0,0,0,0,1,0,0,0,0
356,8.145,USA,Crime,0,0,0,0,1,0,0,0,0,0,0,0
357,8.067,USA,Action,0,0,1,0,0,0,0,0,0,0,0,0
358,8.245,UK,Comedy,0,0,0,0,0,0,1,0,0,0,0,0
359,4.614,USA,Drama,0,0,0,0,0,0,0,0,0,1,0,0
360,2.7689999999999997,USA,Comedy,0,0,0,0,0,0,0,0,0,1,0,0
361,11.565,USA,Comedy,0,0,0,0,0,0,0,0,0,0,1,0
