tmdbId,original_language,original_title,popularity,release_date,title,score_tmdb,votes_tmdb,movieId,imdbId,genres,year,worldwide_gross,budget,company,country,director,domestic_gross,runtime,score_imdb,star,votes_imdb,writer,votes_ml,score_ml
9909,en,Dangerous Minds,6.308,1995-08-11,Dangerous Minds,6.5,402,31,112792,Drama,1995.0,180000000.0,23000000.0,Hollywood Pictures,USA,John N. Smith,84919401.0,99,6.4,Michelle Pfeiffer,40880,LouAnne Johnson,11802,3.237586849686494
63,en,Twelve Monkeys,14.048,1995-12-29,Twelve Monkeys,7.5,4106,32,114746,Mystery|Sci-Fi|Thriller,1995.0,168840000.0,29000001.0,Universal Pictures,USA,Terry Gilliam,57141459.0,129,8.0,Bruce Willis,500403,Chris Marker,54846,3.8901925391095067
78802,fr,"Guillaumet, les ailes du courage",1.4,1996-09-18,Wings of Courage,6.6,5,33,114952,Adventure|Romance|IMAX,1995.0,0.0,0.0,Iwerks Entertainment,France,Jean-Jacques Annaud,15054389.0,50,6.5,Craig Sheffer,537,Alain Godard,72,3.0555555555555554
47018,en,Carrington,2.31,1995-05-25,Carrington,6.8,24,35,112637,Drama|Romance,1995.0,0.0,0.0,PolyGram Filmed Entertainment,UK,Christopher Hampton,3242342.0,121,6.9,Emma Thompson,4621,Christopher Hampton,1572,3.4987277353689565
687,en,Dead Man Walking,7.113,1995-12-29,Dead Man Walking,7.4,595,36,112818,Crime|Drama,1995.0,39363635.0,11000000.0,Havoc,UK,Tim Robbins,39387284.0,122,7.6,Susan Sarandon,77349,Helen Prejean,23955,3.928762262575663
33689,en,It Takes Two,6.497,1995-11-17,It Takes Two,6.3,354,38,113442,Children|Comedy,1995.0,0.0,0.0,Dualstar Productions,USA,Andy Tennant,19474589.0,101,5.8,Kirstie Alley,16200,Deborah Dean Davis,712,2.912921348314607
9603,en,Clueless,10.455,1995-07-19,Clueless,7.1,1691,39,112697,Comedy|Romance,1995.0,0.0,12000000.0,Paramount Pictures,USA,Amy Heckerling,56631572.0,97,6.8,Alicia Silverstone,136975,Amy Heckerling,29422,3.416287132078037
31174,en,Richard III,6.454,1995-12-29,Richard III,6.9,68,41,114279,Drama|War,1995.0,0.0,0.0,Mayfair Entertainment International,UK,Richard Loncraine,2600000.0,110,7.5,Ian McKellen,12218,William Shakespeare,5082,3.849862258953168
11443,en,Dead Presidents,5.585,1995-10-06,Dead Presidents,6.6,113,42,112819,Action|Crime|Drama,1995.0,0.0,10000000.0,Caravan Pictures,USA,Albert Hughes,24200000.0,119,6.8,Larenz Tate,16395,Allen Hughes,2620,3.0482824427480915
35196,en,Restoration,4.889,1995-12-29,Restoration,6.5,47,43,114272,Drama,1995.0,0.0,19000000.0,Avenue Pictures,USA,Michael Hoffman,4100000.0,117,6.7,Robert Downey Jr.,7894,Rose Tremain,2667,3.4662542182227223
9312,en,Mortal Kombat,10.225,1995-08-18,Mortal Kombat,5.6,835,44,113855,Action|Adventure|Fantasy,1995.0,122195920.0,18000000.0,New Line Cinema,USA,Paul W.S. Anderson,70454098.0,101,5.8,Christopher Lambert,87007,Ed Boon,13098,2.631852191174225
577,en,To Die For,6.814,1995-09-22,To Die For,6.7,303,45,114681,Comedy|Drama|Thriller,1995.0,21284514.0,20000000.0,Columbia Pictures Corporation,USA,Gus Van Sant,21284514.0,106,6.8,Nicole Kidman,36974,Joyce Maynard,9719,3.3727235312274924
11861,en,How to Make an American Quilt,6.04,1995-10-06,How to Make an American Quilt,6.3,70,46,113347,Drama|Romance,1995.0,23574130.0,10000000.0,Universal Pictures,USA,Jocelyn Moorhouse,23574130.0,117,6.2,Winona Ryder,9152,Whitney Otto,3334,3.2685962807438513
807,en,Se7en,23.323,1995-09-22,Se7en,8.3,9940,47,114369,Mystery|Thriller,1995.0,327311859.0,33000000.0,Cecchi Gori Pictures,USA,David Fincher,100125643.0,127,8.6,Morgan Freeman,1134655,Andrew Kevin Walker,55240,4.071687183200579
10530,en,Pocahontas,11.145,1995-06-14,Pocahontas,6.9,2932,48,114148,Animation|Children|Drama|Musical|Romance,1995.0,346079773.0,55000000.0,Walt Disney Pictures,USA,Mike Gabriel,141600000.0,81,6.7,Mel Gibson,133708,Carl Binder,16358,2.9631678689326324
8391,en,When Night Is Falling,3.0,1995-05-05,When Night Is Falling,6.6,28,49,114916,Drama|Romance,1995.0,0.0,0.0,Alliance Communications Corporation,Canada,Patricia Rozema,1194152.0,94,6.7,Pascale Bussières,5706,Patricia Rozema,268,3.5671641791044775
629,en,The Usual Suspects,14.51,1995-07-19,The Usual Suspects,8.2,5341,50,114814,Crime|Mystery|Thriller,1995.0,23341568.0,6000000.0,PolyGram Filmed Entertainment,USA,Bryan Singer,23341568.0,106,8.6,Kevin Spacey,814470,Christopher McQuarrie,62180,4.291958829205532
11448,en,Mighty Aphrodite,5.752,1995-09-13,Mighty Aphrodite,6.7,245,52,113819,Comedy|Drama|Romance,1995.0,6700000.0,15000000.0,Sweetland Films,USA,Woody Allen,6700000.0,95,7.1,Woody Allen,33697,Woody Allen,10398,3.5328909405654936
26441,en,The Big Green,3.866,1995-09-29,The Big Green,5.1,67,54,112499,Children|Comedy,1995.0,0.0,12000000.0,Caravan Pictures,USA,Holly Goldberg Sloan,17725500.0,100,5.5,Steve Guttenberg,7500,Holly Goldberg Sloan,1064,2.848684210526316
97406,en,Georgia,1.782,1995-05-19,Georgia,6.3,16,55,113158,Drama,1995.0,0.0,0.0,CiBy 2000,USA,Ulu Grosbard,1110104.0,115,6.5,Jennifer Jason Leigh,2530,Barbara Turner,978,3.2254601226993866
9089,en,Home for the Holidays,4.715,1995-11-02,Home for the Holidays,6.3,68,57,113321,Drama,1995.0,17519169.0,20000000.0,Paramount Pictures,USA,Jodie Foster,17518220.0,103,6.6,Holly Hunter,9567,Chris Radant,2530,3.3223320158102765
11359,en,The Indian in the Cupboard,5.893,1995-07-14,The Indian in the Cupboard,6.0,246,60,113419,Adventure|Children|Fantasy,1995.0,0.0,45000000.0,Columbia Pictures Corporation,USA,Frank Oz,35617599.0,96,5.9,Hal Scardino,22044,Lynne Reid Banks,7601,3.0712406262333904
17182,en,Eye for an Eye,5.058,1996-01-12,Eye for an Eye,6.0,107,61,116260,Drama|Thriller,1996.0,0.0,20000000.0,Paramount Pictures,USA,John Schlesinger,26792700.0,101,6.1,Sally Field,10968,Erika Holzer,2465,3.3363083164300202
2054,en,Mr. Holland's Opus,5.998,1995-12-29,Mr. Holland's Opus,7.1,165,62,113862,Drama,1995.0,106269971.0,23000000.0,Hollywood Pictures,USA,Stephen Herek,82569971.0,143,7.3,Richard Dreyfuss,31602,Patrick Sheane Duncan,23359,3.7467143285243374
10607,en,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,8.749,1996-01-12,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,6.2,329,63,116126,Comedy|Crime,1996.0,0.0,3800000.0,Island Pictures,USA,Paris Barclay,20109115.0,89,6.6,Shawn Wayans,40789,Shawn Wayans,2744,3.121537900874636
19760,en,Two If by Sea,2.177,1996-01-12,Two If by Sea,4.8,28,64,118002,Comedy|Romance,1996.0,0.0,0.0,Morgan Creek Productions,USA,Bill Bennett,10700000.0,96,5.2,Sandra Bullock,4759,Denis Leary,2192,2.8378193430656933
9536,en,Bio-Dome,7.166,1996-01-12,Bio-Dome,4.4,169,65,115683,Comedy,1996.0,0.0,15000000.0,Motion Picture Corporation of America (MPCA),USA,Jason Bloom,26757000.0,88,4.4,Pauly Shore,22728,Adam Leff,5837,2.3990919993147166
11525,en,Lawnmower Man 2: Beyond Cyberspace,4.029,1996-01-12,Lawnmower Man 2: Beyond Cyberspace,2.9,57,66,116839,Action|Sci-Fi|Thriller,1996.0,2409225.0,15000000.0,New Line Cinema,USA,Farhad Mann,2409225.0,93,2.4,Patrick Bergin,8315,Farhad Mann,2586,2.1608662026295438
40628,en,Two Bits,2.67,1995-10-22,Two Bits,5.8,19,67,114753,Drama,1995.0,0.0,0.0,Miramax,USA,James Foley,26282.0,85,6.3,Al Pacino,2903,Joseph Stefano,176,3.352272727272727
10634,en,Friday,8.616,1995-04-26,Friday,7.1,783,69,113118,Comedy,1995.0,28215918.0,3500000.0,New Line Cinema,USA,F. Gary Gray,27467564.0,91,7.3,Ice Cube,82224,Ice Cube,5217,3.5508913168487637
755,en,From Dusk Till Dawn,13.908,1996-01-19,From Dusk Till Dawn,6.9,2810,70,116367,Action|Comedy|Horror|Thriller,1996.0,25836616.0,19000000.0,Dimension Films,USA,Robert Rodriguez,25753840.0,108,7.3,Harvey Keitel,236890,Robert Kurtzman,15821,3.315466784653309
11859,en,Fair Game,6.247,1995-11-03,Fair Game,4.1,94,71,113010,Action,1995.0,11534477.0,50000000.0,Warner Bros.,USA,Andrew Sipes,11534477.0,91,4.1,William Baldwin,10655,Paula Gosling,1366,2.3543191800878476
28387,en,Kicking and Screaming,3.097,1995-10-06,Kicking and Screaming,7.0,55,72,113537,Comedy|Drama,1995.0,718490.0,0.0,Trimark Pictures,USA,Noah Baumbach,704543.0,96,7.0,Josh Hamilton,7594,Noah Baumbach,1334,3.484632683658171
20927,en,Bed of Roses,3.725,1996-01-26,Bed of Roses,5.3,42,74,115644,Drama|Romance,1996.0,19030691.0,0.0,Juno Pix,USA,Michael Goldenberg,19030691.0,87,6.1,Christian Slater,7141,Michael Goldenberg,3833,3.297678058961649
27526,en,The Crossing Guard,5.618,1995-11-15,The Crossing Guard,6.1,110,78,112744,Action|Crime|Drama|Thriller,1995.0,0.0,9000000.0,Miramax,USA,Sean Penn,832910.0,111,6.3,Jack Nicholson,11262,Sean Penn,1284,3.170171339563863
9623,en,The Juror,6.175,1996-02-02,The Juror,5.5,141,79,116731,Drama|Thriller,1996.0,0.0,44000000.0,Columbia Pictures Corporation,USA,Brian Gibson,22754725.0,118,5.6,Demi Moore,14796,George Dawes Green,6341,3.1604636492666773
46785,fa,بادکنک سفید,1.608,1995-02-02,The White Balloon,7.6,36,80,112445,Children|Drama,1995.0,0.0,150000.0,Ferdos Films,Iran,Jafar Panahi,474047.0,85,7.8,Aida Mohammadkhani,5258,Abbas Kiarostami,603,3.728026533996683
400,en,Things to Do in Denver When You're Dead,7.27,1995-12-01,Things to Do in Denver When You're Dead,6.6,148,81,114660,Crime|Drama|Romance,1995.0,529766.0,7000000.0,Miramax,USA,Gary Fleder,529766.0,115,6.8,Andy Garcia,23358,Scott Rosenberg,3449,3.2684836184401274
880,nl,Antonia,3.016,1995-09-12,Antonia's Line,7.4,48,82,112379,Comedy|Drama,1995.0,0.0,0.0,Bergen,Netherlands,Marleen Gorris,4823217.0,102,7.5,Willeke van Ammelrooy,7174,Marleen Gorris,2724,4.012848751835536
8447,en,Angels and Insects,1.909,1995-09-10,Angels and Insects,6.5,22,85,112365,Drama|Romance,1995.0,0.0,0.0,Playhouse International Pictures,UK,Philip Haas,5304000.0,116,7.0,Mark Rylance,4083,A.S. Byatt,2834,3.5389908256880735
10534,en,White Squall,6.647,1996-02-02,White Squall,6.3,142,86,118158,Action|Adventure|Drama,1996.0,10300000.0,38000000.0,Hollywood Pictures,USA,Ridley Scott,10300000.0,129,6.6,Jeff Bridges,18875,Charles Gieg Jr.,4606,3.4867564046895354
17414,en,Dunston Checks In,5.644,1996-01-12,Dunston Checks In,5.1,96,87,116151,Children|Comedy,1996.0,0.0,0.0,Joe Wizan/Todd Black,USA,Ken Kwapis,9871065.0,88,5.3,Jason Alexander,10371,John Hopkins,1112,2.410521582733813
13997,en,Black Sheep,6.482,1996-02-01,Black Sheep,6.0,158,88,115697,Comedy,1996.0,32.0,0.0,Broadway Pictures,USA,Penelope Spheeris,32377000.0,87,6.2,Chris Farley,31582,Fred Wolf,5907,3.127221940071102
2086,en,Nick of Time,6.264,1995-11-22,Nick of Time,6.1,304,89,113972,Action|Thriller,1995.0,8175346.0,33000000.0,Paramount Pictures,USA,John Badham,8169363.0,90,6.3,Johnny Depp,34436,Patrick Sheane Duncan,3489,3.1335626253940956
9095,en,Mary Reilly,6.449,1996-02-23,Mary Reilly,5.8,124,92,117002,Drama|Horror|Thriller,1996.0,12379402.0,47000000.0,NFH Productions,USA,Stephen Frears,5600000.0,108,5.8,Julia Roberts,12455,Valerie Martin,2462,2.851949634443542
12158,en,Vampire in Brooklyn,5.413,1995-10-26,Vampire in Brooklyn,4.7,204,93,114825,Comedy|Horror|Romance,1995.0,19800000.0,20000000.0,Eddie Murphy Productions,USA,Wes Craven,19751736.0,100,4.5,Eddie Murphy,18359,Eddie Murphy,2183,2.51099404489235
9283,en,Beautiful Girls,5.721,1996-02-09,Beautiful Girls,6.8,172,94,115639,Comedy|Drama|Romance,1996.0,0.0,0.0,Miramax,USA,Ted Demme,10597759.0,112,7.2,Matt Dillon,27842,Scott Rosenberg,4383,3.5317134382842803
9208,en,Broken Arrow,9.785,1996-02-09,Broken Arrow,5.9,671,95,115759,Action|Adventure|Thriller,1996.0,150270147.0,50000000.0,Twentieth Century Fox Film Corporation,USA,John Woo,70770147.0,108,6.0,John Travolta,81083,Graham Yost,25847,3.1095484969242078
406,fr,La Haine,7.631,1995-05-31,La Haine,8.0,1332,97,113247,Crime|Drama,1995.0,0.0,0.0,Canal+,France,Mathieu Kassovitz,309811.0,98,8.1,Vincent Cassel,115435,Mathieu Kassovitz,2848,3.987710674157303
11062,en,City Hall,6.438,1996-02-16,City Hall,6.1,105,100,115907,Drama|Thriller,1996.0,0.0,40000000.0,Castle Rock Entertainment,USA,Harold Becker,20200000.0,111,6.2,Al Pacino,17531,Ken Lipper,4451,3.230622332060211
13685,en,Bottle Rocket,7.843,1996-02-21,Bottle Rocket,6.8,437,101,115734,Adventure|Comedy|Crime|Romance,1996.0,560069.0,7000000.0,Columbia Pictures Corporation,USA,Wes Anderson,560069.0,91,7.1,Luke Wilson,58644,Owen Wilson,4953,3.7732687260246314
47475,en,Mr. Wrong,2.383,1996-02-16,Mr. Wrong,3.9,25,102,117102,Comedy,1996.0,0.0,0.0,Mandeville Films,USA,Nick Castle,12350030.0,96,3.8,Ellen DeGeneres,4465,Chris Matheson,2142,2.4271708683473388
2045,en,Unforgettable,3.258,1996-02-23,Unforgettable,5.6,40,103,118040,Mystery|Sci-Fi|Thriller,1996.0,0.0,18000000.0,Dino De Laurentiis Company,USA,John Dahl,2780278.0,117,6.0,Ray Liotta,4227,Bill Geddie,1209,3.270471464019851
9614,en,Happy Gilmore,13.288,1996-02-16,Happy Gilmore,6.5,1229,104,116483,Comedy,1996.0,41205099.0,12000000.0,Universal Pictures,USA,Dennis Dugan,38624000.0,92,7.0,Adam Sandler,166846,Tim Herlihy,22247,3.3942778801636178
688,en,The Bridges of Madison County,9.167,1995-05-28,The Bridges of Madison County,7.5,739,105,112579,Drama|Romance,1995.0,182016617.0,24000000.0,Warner Bros.,USA,Clint Eastwood,71516617.0,135,7.6,Clint Eastwood,58975,Richard LaGravenese,11284,3.3287841191067
10874,en,Muppet Treasure Island,5.451,1996-02-16,Muppet Treasure Island,6.4,153,107,117110,Adventure|Children|Comedy|Musical,1996.0,34327391.0,0.0,"Jim Henson Company, The",USA,Brian Henson,33609000.0,99,6.9,Tim Curry,17264,Robert Louis Stevenson,8122,3.196195518345235
197,en,Braveheart,17.3,1995-05-24,Braveheart,7.9,5217,110,112573,Action|Drama|War,1995.0,210000000.0,72000000.0,Icon Entertainment International,USA,Mel Gibson,75600000.0,178,8.4,Mel Gibson,807256,Randall Wallace,68803,4.008480734851678
33542,cn,紅番區,8.491,1995-01-30,Rumble in the Bronx,6.6,386,112,113326,Action|Adventure|Comedy|Crime,1995.0,32392047.0,7500000.0,Golden Harvest Company,Hong Kong,Stanley Tong,32392047.0,104,6.7,Jackie Chan,32513,Edward Tang,13417,3.398412461802191
43566,en,Before and After,7.035,1996-02-23,Before and After,6.1,73,113,115645,Drama|Mystery,1996.0,0.0,35000000.0,Caravan Pictures,USA,Barbet Schroeder,8797839.0,108,6.1,Meryl Streep,7142,Rosellen Brown,1158,3.1252158894645943
10324,en,If Lucy Fell,1.861,1996-03-08,If Lucy Fell,4.8,21,118,116606,Comedy|Romance,1996.0,0.0,5000000.0,Motion Picture Corporation of America (MPCA),USA,Eric Schaeffer,4635344.0,92,4.9,Sarah Jessica Parker,3510,Eric Schaeffer,1177,3.0114698385726424
55731,en,Race the Sun,2.338,1996-03-22,Race the Sun,5.3,30,120,117427,Adventure|Comedy|Drama,1996.0,0.0,0.0,TriStar Pictures,USA,Charles T. Kanganis,1945552.0,100,5.3,Halle Berry,2772,Barry Morrow,168,2.8839285714285716
11066,en,Boomerang,6.87,1992-06-30,Boomerang,5.5,232,122,103859,Comedy|Romance,1992.0,70100000.0,40000000.0,Paramount Pictures,USA,Reginald Hudlin,70100000.0,117,5.4,Eddie Murphy,21723,Eddie Murphy,4095,2.862026862026862
11104,cn,重慶森林,6.95,1994-07-14,Chungking Express,8.0,441,123,109424,Drama|Mystery|Romance,1994.0,0.0,0.0,Jet Tone Production,Hong Kong,Kar-Wai Wong,600200.0,102,8.1,Brigitte Lin,45500,Kar-Wai Wong,2866,3.98831123517097
37975,it,L'uomo delle stelle,5.443,1995-09-21,The Star Maker,7.1,56,124,114808,Drama,1995.0,0.0,0.0,Cecchi Gori Group Tiger Cinematografica,Italy,Giuseppe Tornatore,116797.0,113,7.4,Sergio Castellitto,4129,Giuseppe Tornatore,342,3.491228070175439
2074,en,Flirting with Disaster,6.046,1996-03-22,Flirting with Disaster,6.2,99,125,116324,Comedy,1996.0,14702438.0,7000000.0,Miramax,USA,David O. Russell,14891000.0,92,6.8,Ben Stiller,15795,David O. Russell,3679,3.739739059527045
11863,en,Jade,6.053,1995-10-13,Jade,5.2,79,132,113451,Thriller,1995.0,9851610.0,50000000.0,Paramount Pictures,USA,William Friedkin,9795017.0,95,5.2,David Caruso,9815,Joe Eszterhas,2210,2.7694570135746606
9101,en,Down Periscope,6.249,1996-03-01,Down Periscope,5.8,147,135,116130,Comedy,1996.0,0.0,31000000.0,Twentieth Century Fox Film Corporation,USA,David S. Ward,25785603.0,92,6.0,Kelsey Grammer,18045,Hugh Wilson,7737,2.99909525655939
9302,en,Up Close & Personal,5.092,1996-03-01,Up Close & Personal,6.2,91,140,118055,Drama|Romance,1996.0,0.0,60000000.0,Touchstone Pictures,USA,Jon Avnet,51088705.0,124,6.1,Robert Redford,11967,Joan Didion,5649,3.308727208355461
11000,en,The Birdcage,7.715,1996-03-08,The Birdcage,7.0,500,141,115685,Comedy,1996.0,185260553.0,31000000.0,United Artists,USA,Mike Nichols,124060553.0,117,7.0,Robin Williams,66577,Jean Poiret,26041,3.5209477362620483
16388,en,The Brothers McMullen,2.446,1995-08-09,The Brothers McMullen,6.0,37,144,112585,Comedy,1995.0,0.0,25000.0,Brothers McMullen Productions,USA,Edward Burns,10246600.0,98,6.6,Jack Mulcahy,6598,Edward Burns,4675,3.465668449197861
9737,en,Bad Boys,10.498,1995-04-07,Bad Boys,6.6,2761,145,112442,Action|Comedy|Crime|Drama|Thriller,1995.0,141407024.0,19000000.0,Don Simpson/Jerry Bruckheimer Films,USA,Michael Bay,65807024.0,119,6.8,Will Smith,186965,George Gallo,15321,3.275243130343972
30765,en,The Amazing Panda Adventure,3.335,1995-08-25,The Amazing Panda Adventure,5.4,39,146,112342,Adventure|Children,1995.0,0.0,0.0,Lee Rich Productions,USA,Christopher Cain,7506759.0,100,5.8,Stephen Lang,3344,John Wilcox,626,2.8961661341853033
10474,en,The Basketball Diaries,7.629,1995-04-21,The Basketball Diaries,7.3,795,147,112461,Drama,1995.0,0.0,0.0,New Line Cinema,USA,Scott Kalvert,2424439.0,102,7.3,Leonardo DiCaprio,86655,Jim Carroll,5088,3.601513364779874
22279,en,An Awfully Big Adventure,2.395,1995-07-21,An Awfully Big Adventure,6.5,16,148,112427,Drama,1995.0,851545.0,4000000.0,British Broadcasting Corporation (BBC),UK,Mike Newell,258195.0,112,6.0,Hugh Grant,2273,Beryl Bainbridge,374,2.907754010695187
30157,en,Amateur,2.503,1994-08-05,Amateur,6.7,28,149,109093,Crime|Drama|Thriller,1994.0,0.0,2300000.0,American Playhouse,USA,Hal Hartley,856422.0,105,7.0,Isabelle Huppert,4804,Hal Hartley,1140,3.687280701754386
568,en,Apollo 13,25.637,1995-06-30,Apollo 13,7.4,2655,150,112384,Adventure|Drama|IMAX,1995.0,355237933.0,52000000.0,Universal Pictures,USA,Ron Howard,173837933.0,140,7.6,Tom Hanks,224635,Jim Lovell,58665,3.8843006903605217
